NTDID,pop,revenue,mile,VOMS,weight
90008.0,13.65992985614278,18.105684506308677,4.07753744390572,4.852030263919617,4.017295684053941
90013.0,14.475189368873725,19.892023964875847,5.846438775057725,6.244166900663736,2.4203788008126703
90014.0,14.16987533552231,19.945052056908725,5.8971538676367405,6.214608098422191,4.236060581507821
90017.0,12.090252058012194,16.2935441422576,3.9318256327243257,3.2188758248682006,4.159481293470673
90023.0,13.643686113204478,18.359651843551354,4.605170185988092,4.852030263919617,4.050195866610616
90026.0,14.716771709409166,19.520764915535832,6.579251212010101,6.53813982376767,5.288951778831066
90027.0,13.203218677911787,17.89035378249792,5.0369526024136295,4.976733742420574,3.8262470724763884
90030.0,13.85831522568839,18.466611280424004,5.8289456176102075,5.209486152841421,1.6540906428073376
90031.0,14.460763922514722,18.19104128987202,7.824046010856292,5.278114659230517,1.6214213764223604
90035.0,12.813825323073171,17.103138900103332,4.430816798843313,4.248495242049359,1.929541938431939
90039.0,13.179748876569564,17.196829975492502,3.7612001156935624,3.58351893845611,5.544875822029692
90050.0,11.750981273818839,15.7214727351921,3.7376696182833684,2.833213344056216,4.673538496890606
90052.0,12.049641033019318,14.457967946203183,3.713572066704308,2.302585092994046,1.88616021061206
90061.0,11.896478923357074,15.836084800019647,6.70073110954781,3.4339872044851463,4.242774098320031
90062.0,12.992334415530788,17.546562134765114,5.0369526024136295,4.430816798843313,2.3006576933844767
90086.0,12.660321568581265,15.226554359328107,4.406719247264253,2.70805020110221,2.271065427399856
90087.0,11.696055028572077,15.417388364679786,3.5263605246161616,2.995732273553991,4.442590714602725
90091.0,11.991349790427803,16.529248353990404,3.8066624897703196,3.5553480614894135,3.871889831819192
90094.0,15.775605342011543,15.137572217845587,8.83927669058535,5.697093486505405,1.5910421532369188
90121.0,12.762970457398547,17.304217103810565,7.090076835776092,4.499809670330265,4.292464930747674
90144.0,12.38132762611741,16.456707026560878,3.6888794541139363,3.6888794541139363,8.134954356205078
90146.0,14.231477659913114,18.440139988770117,5.7899601708972535,5.713732805509369,1.17290918926856
90147.0,15.394381215839678,18.420553105806963,6.142037405587356,5.8522024797744745,1.487035615410922
90148.0,12.749233795393636,17.258193234114614,5.7899601708972535,5.6240175061873385,0.6390590387897962
90149.0,10.903733328903735,14.692704057061132,3.6888794541139363,2.302585092994046,11.9933605616111
90154.0,16.167791880716802,21.316476455028038,8.317033476492403,7.840312983320164,2.434250518601995
90162.0,12.71062865628257,16.97210664206203,5.41610040220442,4.430816798843313,3.1003935768683406
90165.0,12.957601935353773,15.739683148951661,5.117993812416755,2.8903717578961645,3.1651464185813554
90175.0,11.12115613999105,15.05628509437415,2.772588722239781,2.302585092994046,6.805047956651146
90197.0,11.352545422891628,15.268829254274305,2.995732273553991,2.5649493574615367,4.891462729137525
90208.0,12.016992299491665,16.047072899229182,5.225746673713202,3.6109179126442243,2.6260667749556132
90211.0,12.788288265382837,15.42333857521225,3.912023005428146,3.332204510175204,0.5310241930151606
90218.0,14.492525815940702,13.602891430106277,7.649692623711514,3.4011973816621555,3.8652167128014483
90229.0,11.909107619479476,15.751350601850906,7.449498005382849,2.772588722239781,2.516538758637994
90236.0,13.218872837784136,15.579016118207141,7.323170717943469,3.332204510175204,3.3363688101607933
90249.0,8.24301946898925,13.496853681213063,0.0,1.3862943611198906,6.389258338569413
90265.0,12.21547332039967,14.979799157741384,2.302585092994046,2.4849066497880004,5.031810409968019
90299.0,13.529405907394832,17.171672148968632,7.86172707782398,2.0794415416798357,1.381572763904052
90303.0,12.533035525483381,14.439112571693125,7.845416036592485,2.1972245773362196,1.177798862393637
