"","AgencyName","NTDID","OrgType","reptype","id","survey_response","pop","mile","VOMS","revenue","City","County","Address","Zip","minutes_sum","minutes"
"187","Solano County Transit","90232","Independent Public Agency","Full Reporter","Principal City",0,149473,65,41,18474403,"Vallejo","Solano","311 Sacramento Street","94590",11,1
"188","Solano Transportation Authority","","Local Government","","",0,NA,NA,NA,NA,"Suisun","","One Harbor Center Ste 130","94583",33,1
"189","Solvang","9R02-91028","Local Government","Rural Reporter","Small Rural City",0,NA,NA,3,NA,"Solvang","Santa Barbara","411 Second Street","93463",NA,0
"190","Sonoma County Transit","","Independent Public Agency","","",0,NA,NA,NA,NA,"Santa Rosa","","355 W Robles Avenue","95407",NA,0
"191","Sonoma-Marin Area Rail Transit District","90299","Independent Public Agency","Full Reporter","Principal City",1,763651,2596,11,61569671,"Petaluma","Sonoma","","",14,1
"192","South El Monte","","Local Government","","",0,NA,NA,NA,NA,"South El Monte","","1556 Central Avenue","91733",NA,0
"193","South Gate","90291","Local Government","Reduced Reporter","Suburban City",0,99578,8,14,1776673,"South Gate","Los Angeles","4900 Southern Avenue","90280",14,1
"194","Southern California Association of Governments (SCAG)","","MPO/RTPA","","",0,NA,NA,NA,NA,"Los Angeles","","","",NA,0
"195","Southern California Regional Rail Authority","90151","Independent Public Agency","Full Reporter","Principal City",0,8341002,2291,195,314485845,"Los Angeles","Los Angeles","","",25,1
"196","Stanislaus COG (StanCOG)","","MPO/RTPA","","",0,NA,NA,NA,NA,"Modesto","","1111 I Street Ste 308","95354",NA,0
"197","Stanislaus Regional Transit","90236","Independent Public Agency","Reduced Reporter","Principal City",1,547899,1492,29,6379272,"Modesto","Stanislaus","912 11th Street","95354",9,1
"198","SunLine Transit Agency","90079","Independent Public Agency","Full Reporter","Suburban City",0,460275,1120,96,49074315,"Thousand Palms","Riverside","32-505 Harry Oliver Trail","92276",17,1
"199","Susanville Indian Rancheria","99256","Other","Reduced Reporter","Principal City",0,NA,NA,4,168893,"Susanville","Lassen","","",NA,0
"200","Taft","91066","Local Government","","",0,NA,NA,NA,NA,"Taft","","209 E Kern Street","93268",NA,0
"201","Tahoe MPO (TMPO)","","MPO/RTPA","","",0,NA,NA,NA,NA,"Stateline","","","",NA,0
"202","Tahoe Transportation District","91092","Independent Public Agency","","",0,NA,NA,NA,NA,"","","","",NA,0
"203","Tehama County","9R02-91089","Local Government","Rural Reporter","Small Rural City",0,NA,NA,12,NA,"Gerber","Tehama","","",7,1
"204","Tehama County Transportation Commission","","MPO/RTPA","","",1,NA,NA,NA,NA,"Gerber","","9380 San Benito Avenue","96038",NA,0
"205","The Eastern Contra Costa Transit Authority","90162","Independent Public Agency","Full Reporter","Suburban City",1,318700,225,78,29407492,"Antioch","Contra Costa","801 Wilbur Avenue","94509",10,1
"206","Thousand Oaks","90165","Local Government","Reduced Reporter","Principal City",1,414742,167,28,7422964,"Thousand Oaks","Ventura","2100 E Thousand Oaks Blvd","91362",16,1
"207","Torrance","90010","Local Government","Full Reporter","Principal City",0,606847,103,84,25610872,"Torrance","Los Angeles","","",20,1
"208","Town of Truckee","9R02-91101","Local Government","Rural Reporter","Principal City",1,NA,NA,6,NA,"Truckee","Nevada","10183 Truckee Airport Road","96161",24,1
"209","Tracy","90197","Local Government","Reduced Reporter","Small Rural City",1,85182,20,13,4614693,"Tracy","San Joaquin","50 E 6th Street","95376",NA,0
"210","Transit Joint Powers Authority for Merced County","90173","Independent Public Agency","Full Reporter","Principal City",0,136957,310,52,12524081,"Merced","Merced","369 W 18th Street","95340",NA,0
"211","Trinity County","9R02-91035","Local Government","Rural Reporter","Small Rural City",0,NA,NA,4,NA,"Weaverville","Trinity","PO Box 2490","96093",NA,0
"212","Tulare","90244","Local Government","Full Reporter","Small Rural City",0,63515,21,10,3046436,"Tulare","Tulare","411 E Kern Avenue","93274",NA,0
"213","Tulare County Area Transit","9R02-91055","Independent Public Agency","Rural Reporter","Principal City",1,NA,NA,24,NA,"Visalia","Tulare","5961 S Mooney Blvd","93277",NA,0
"214","Tulare County Association of Governments (TCAG)","","MPO/RTPA","","",0,NA,NA,NA,NA,"Visalia","","","",40,1
"215","Tulare County Regional Transit Agency","","Local Government","","",1,NA,NA,NA,NA,"Visalia","","210 N Church Street Ste B","93291",NA,0
"216","Tuolumne County Transit","9R02-91057","Independent Public Agency","Rural Reporter","Principal City",0,NA,NA,20,NA,"Sonora","Tuolumne","2 S Green Street","95370",NA,0
"217","Turlock","90201","Local Government","Full Reporter","Small Rural City",0,87867,22,10,8282704,"Turlock","Stanislaus","1418 N Golden State Blvd Ste 1","95380",20,1
"218","Union City","90161","Local Government","Reduced Reporter","Suburban City",0,72991,18,18,4871279,"Union City","Alameda","34009 Alvarado-Niles Road","94587",28,1
"219","University of California, Davis","90142","Other","Full Reporter","Small Rural City",0,72611,13,35,6095562,"Davis","Yolo","","",NA,0
"220","Vacaville","90155","Local Government","Reduced Reporter","Suburban City",0,100032,27,15,2700891,"Vacaville","Solano","1001 Allison Drive","95687",21,1
"221","Ventura County Transportation Commission","90164","MPO/RTPA","Full Reporter","Suburban City",0,199943,28,45,11035292,"Ventura","Ventura","751 E Daily Drive Ste 420","93010",28,1
"222","Victor Valley Transit Authority","90148","Independent Public Agency","Full Reporter","Suburban City",1,344288,327,302,34090443,"Hesperia","San Bernardino","17150 Smoke Tree Street","92345",10,1
"223","Visalia","90091","Local Government","Full Reporter","Principal City",1,136246,44,39,10875718,"Visalia","Tulare","425 E Oak Avenue Ste 301","93291",11,1
"224","West Covina","90293","Local Government","Reduced Reporter","Suburban City",0,107634,16,8,1301723,"West Covina","Los Angeles","125 E College Street","91723",25,1
"225","West Hollywood","90294","Local Government","Reduced Reporter","Suburban City",0,35288,2,10,2016784,"West Hollywood","Los Angeles","8300 Santa Monica Blvd","90069",20,1
"226","Western Contra Costa Transit Authority","90159","Independent Public Agency","Full Reporter","Suburban City",0,64925,20,50,11422044,"Pinole","Contra Costa","601 Walter Avenue","94564",7,1
"227","Whittier - Transit","90295","Local Government","","",0,NA,NA,NA,NA,"Whittier","","13230 Penn Street","90602",NA,0
"228","Yolo County Transportation District","90090","Independent Public Agency","Full Reporter","Small Rural City",0,528880,109,50,17914239,"Woodland","Yolo","350 Industrial Way","95776",7,1
"229","Yosemite Area Regional Transportation System","9R02-91070","Independent Public Agency","Rural Reporter","Principal City",0,NA,NA,10,NA,"Merced","Merced","","",NA,0
"230","Yuba-Sutter Transit Authority","90061","Independent Public Agency","Full Reporter","Small Rural City",1,142481,813,34,11609661,"Marysville","Yuba","2100 B Street","95901",11,1
"231","Yurok Tribe","99262","Other","Reduced Reporter","Small Rural City",0,NA,NA,4,549612,"Klamath","Del Norte","","",46,1
