"","AgencyName","NTDID","OrgType","reptype","id","survey_response","pop","mile","VOMS","revenue","City","County","Address","Zip","minutes_sum","minutes"
"47","County of Placer","90196","Independent Public Agency","Full Reporter","Small Rural City",0,357463,471,38,16212174,"Auburn","Placer","3091 Country Center Drive Ste 220","95603",31,1
"48","County of Sacramento Municipal Services Agency Department of Transportation","9R02-90216","Local Government","Rural Reporter","Principal City",0,NA,NA,13,NA,"Sacramento","Sacramento","","",22,1
"49","County of Shasta Department of Public Works","9R02-99438","Local Government","Rural Reporter","Principal City",0,NA,NA,0,NA,"Redding","Shasta","","",44,1
"50","County of Siskiyou","9R02-91048","Local Government","Rural Reporter","Small Rural City",0,NA,NA,8,NA,"Yreka","Siskiyou","","",13,1
"51","County of Sonoma","90089","Local Government","Full Reporter","Principal City",0,509142,395,66,16471112,"Santa Rosa","Sonoma","","",NA,0
"52","County of Ventura","90298","Local Government","Reduced Reporter","Suburban City",0,14212,4,4,584545,"Ventura","Ventura","","",21,1
"53","Cudahy","90262","Local Government","Reduced Reporter","Suburban City",0,24103,1,6,275498,"Cudahy","Los Angeles","","",15,1
"54","Culver City","90039","Local Government","Full Reporter","Suburban City",1,341718,33,46,24619672,"Culver City","Los Angeles","4343 Duquesne Avenue","90232",9,1
"55","Delano","90238","Local Government","Reduced Reporter","Small Rural City",0,53041,50,9,2026213,"Delano","Kern","PO Box 3010","93216",24,1
"56","Downey","90263","Local Government","Reduced Reporter","Suburban City",0,111772,13,16,2539257,"Downey","Los Angeles","7850 Quill Drive","90242",28,1
"57","Duarte","90264","Local Government","Reduced Reporter","Suburban City",0,21724,7,2,809799,"Duarte","Los Angeles","","",20,1
"58","Eastern Sierra Transit Authority","9R02-91062","Independent Public Agency","Rural Reporter","Small Rural City",0,NA,NA,44,NA,"Bishop","Inyo","PO Box 1357","93515",6,1
"59","El Dorado County Transit Authority","90229","Independent Public Agency","Full Reporter","Small Rural City",1,147200,1551,34,11385148,"Diamond Springs","El Dorado","6565 Commerce Drive","95619",11,1
"60","El Dorado County Transportation Commission","","MPO/RTPA","","",1,NA,NA,NA,NA,"Placerville","","2828 Easy Street Ste 1","95667",NA,0
"61","El Monte","90265","Local Government","Reduced Reporter","Suburban City",1,201889,10,13,3017151,"El Monte","Los Angeles","3990 Arden Drive","91731",23,1
"62","Elk Grove","90205","Local Government","Full Reporter","Small Rural City",0,171059,42,54,12890543,"Elk Grove","Sacramento","8401 Laguna Palms Way","95758",NA,0
"63","Escalon","9R02-91078","Local Government","Rural Reporter","Small Rural City",1,NA,NA,2,NA,"Escalon","San Joaquin","2060 McHenry Avenue","95320",20,1
"64","Eureka","9R02-91093","Local Government","Rural Reporter","Principal City",0,NA,NA,4,NA,"Eureka","Humboldt","","",22,1
"65","Fairfield","90092","Local Government","Full Reporter","Suburban City",0,505849,129,43,25766099,"Fairfield","Solano","2000 Cadenasso Drive","94533",NA,0
"66","Folsom","90220","Local Government","Reduced Reporter","Principal City",0,78038,24,7,2079819,"Folsom","Sacramento","","",21,1
"67","Foothill Transit","90146","Independent Public Agency","Full Reporter","Suburban City",1,1515836,327,296,120996702,"West Covina","Los Angeles","","",8,1
"68","Fresno","90027","Local Government","Full Reporter","Principal City",1,527438,133,150,77990171,"Fresno","Fresno","2223 G Street","93706",117,1
"69","Fresno Council of Governments (Fresno COG)","","MPO/RTPA","","",1,NA,NA,NA,NA,"Fresno","","2035 Tulare Street Ste 201","93721",NA,0
"70","Fresno County Rural Transit Agency","9R02-91007","Independent Public Agency","Rural Reporter","Principal City",1,NA,NA,90,NA,"Fresno","Fresno","2035 Tulare Street Ste 201","93721",NA,0
"71","Gardena","90042","Local Government","Full Reporter","Principal City",0,463968,40,49,22483291,"Gardena","Los Angeles","13999 S Western Avenue","90249",20,1
"72","Glendale","99423","Local Government","Full Reporter","Principal City",0,223467,39,34,10052408,"Glendale","Los Angeles","1759 Gardena Avenue","91204",143,1
"73","Glendora","90266","Local Government","Reduced Reporter","Suburban City",0,51290,19,13,858716,"Glendora","Los Angeles","116 E Foothill Blvd","91741",21,1
"74","Glenn Transit Service","9R02-91088","Independent Public Agency","Rural Reporter","Small Rural City",0,NA,NA,4,NA,"Willows","Glenn","225 N Tehama Street","95988",NA,0
"75","Gold Coast Transit","90035","Independent Public Agency","Full Reporter","Principal City",1,367260,84,72,35662954,"Oxnard","Ventura","1901 Auto Center Drive","93036",10,1
"76","Golden Empire Transit District","90004","Independent Public Agency","Full Reporter","Principal City",0,497989,111,87,32370558,"Bakersfield","Kern","1830 Golden State Avenue","93301",9,1
"77","Golden Gate Bridge, Highway and Transportation District","90016","Independent Public Agency","Full Reporter","Principal City",0,896089,145,154,129705916,"San Francisco","San Francisco","","",20,1
"78","Guadalupe","9R02-91043","Local Government","Rural Reporter","Small Rural City",0,NA,NA,3,NA,"GUADALUPE","","","",NA,0
"79","Humboldt Transit Authority","9R02-91036","Independent Public Agency","Rural Reporter","Principal City",0,NA,NA,14,NA,"Eureka","Humboldt","133 V Street","95501",7,1
